Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
CS,421,Software Design Project II,01,26450,3,M16.20-18,WEB ARR,Jan 10--Apr 29,M Bozorgi
CS,421,Software Design Project II,01 Lab,26451,0,W16.20-18.50,WEB ARR,Jan 10--Apr 29,M Bozorgi
CS,421,Software Design Project II,02 Lab,26551,0,W16.20-18.50,WEB ARR,Jan 10--Apr 29,M Bozorgi
CS,427,Cryptography and Network Security,01,26410,3,"M,W12.05-13.20",VECS 105,Jan 10--Apr 29,G Williams
CS,454,Information Retrieval,01,29945,3,"W,F10.35-11.50",VUB 225,Jan 10--Apr 29,B Mccamish
CS,455,Introduction to Computer Networks,01,27224,3,"M,W14.55-16.10",VUB 225,Jan 10--Apr 29,A Wisniewska
CS,458,Mobile Application Development,01,26412,3,"TU,TH14.55-16.10",VECS 104,Jan 10--Apr 29,P Bonamy
CS,460,Operating Systems,01,26413,3,"M,W,F13.30-14.20",VMMC 6,Jan 10--Apr 29,X Zhang
CS,466,Embedded Systems,01,26415,3,TU17.45-19.25,VECS 104,Jan 10--Apr 29,D Lowe
CS,466,Embedded Systems,01 Lab,26417,0,TH17.45-20.15,VECS 221,Jan 10--Apr 29,D Lowe
CS,527,Cryptography and Network Security,01,26411,3,"M,W12.05-13.20",VECS 105,Jan 10--Apr 29,G Williams
CS,558,Wireless Sensor Networks,01,27225,3,"M,W16.20-17.35",VSCI 19,Jan 10--Apr 29,A Wisniewska
CS,566,Embedded Systems,01,26416,3,TU17.45-19.25,VECS 104,Jan 10--Apr 29,D Lowe
CS,566,Embedded Systems,01 Lab,26418,0,TH17.45-20.15,VECS 221,Jan 10--Apr 29,D Lowe
CS,570,Machine Learning,01,26574,3,"M,W10.35-11.50",VSCI 19,Jan 10--Apr 29,S Wallace
CS,700,"Master's Research, Thesis, and/or Examination",01,26414,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
DATA,115,Introduction to Data Analytics,02,26268,3,"M,W,F11.10-12",VECS 122,Jan 10--Apr 29,S Lapin
DATA,390,Special Topics I,03,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,S Lapin
DATA,424,[CAPS] [M] Data Analytics Capstone,03,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,R Crate
DATA,498,Internship,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,S Lapin
DTC,101,[ARTS] Introduction to Digital Technology & Culture,01,26078,3,"M,W12.05-13.20",VLIB 261,Jan 10--Apr 29,M Rabby
DTC,101,[ARTS] Introduction to Digital Technology & Culture,02,26079,3,"M,W13.30-14.45",VLIB 261,Jan 10--Apr 29,M Rabby
DTC,101,[ARTS] Introduction to Digital Technology & Culture,03,26128,3,"TU,TH14.55-16.10",VUB 107,Jan 10--Apr 29,E Mcdonald
DTC,201,[ARTS] Tools and Methods for Digital Technology,01,26090,3,"TU,TH9.10-10.25",VMMC 111,Jan 10--Apr 29,K Zoller
DTC,201,[ARTS] Tools and Methods for Digital Technology,02,26099,3,"TU,TH16.20-17.35",VMMC 111,Jan 10--Apr 29,K Zoller
DTC,209,Introduction to Data Visualization,01,27255,3,M14.10-17,VCLS 224,Jan 10--Apr 29,R Snyder
DTC,330,Social Media Case Studies,01,26876,3,"M,W,F10.35-11.25",VCLS 224,Jan 10--Apr 29,M Rabby
DTC,335,3D Digital Animation,01,27264,3,"TU,TH13.30-14.45",VMMC 111,Jan 10--Apr 29,S Anderson
DTC,335,3D Digital Animation,01 Lab,27265,0,ARRGT,ARR ARR,Jan 10--Apr 29,""
DTC,336,Multimedia Design,01,26025,3,"M,W12.05-13.20",VMMC 111,Jan 10--Apr 29,C Dreger
DTC,336,Multimedia Design,02,26154,3,M17.45-20.30,VMMC 111,Jan 10--Apr 29,C Dreger
DTC,338,Special Topics in Digital Technology and Culture,01,26066,3,F14.10-17,VMMC 111,Jan 10--Apr 29,C Dreger
DTC,354,[ARTS] [M] Digital Storytelling,01,26080,3,W17.45-20.30,VMMC 111,Jan 10--Apr 29,W Luers
DTC,355,[M] Multimedia Authoring,01,26031,3,TU17.45-20.30,VMMC 111,Jan 10--Apr 29,W Luers
